"Unique Key","Created Date","Complaint Type",Descriptor,"Location Type","Incident Zip","Incident Address","Street Name","Cross Street 1","Cross Street 2","Intersection Street 1","Intersection Street 2","Address Type",City,Latitude,Longitude,Location,count(location)
21867022,"11/13/2011 02:13:16 AM","Noise - Commercial","Loud Music/Party",Club/Bar/Restaurant,11211,"124 BEDFORD AVENUE","BEDFORD AVENUE","NORTH 11 STREET","NORTH 10 STREET","","",ADDRESS,BROOKLYN,40.71958002092975,-73.95586209464417,"(40.71958002092975, -73.95586209464417)",122
16210098,"03/14/2010 01:07:10 PM","Noise - House of Worship","Loud Music/Party","House of Worship",11369,"32-56 110 STREET","110 STREET","ASTORIA BOULEVARD","NORTHERN BOULEVARD","","",ADDRESS,"EAST ELMHURST",40.758734268604165,-73.86009781919178,"(40.758734268604165, -73.86009781919178)",121
22985828,"04/01/2012 03:14:54 AM","Noise - Commercial","Loud Music/Party",Club/Bar/Restaurant,10036,"621 WEST 46 STREET","WEST 46 STREET","11 AVENUE","PEDESTRIAN OVERPASS","","",ADDRESS,"NEW YORK",40.763622481330685,-73.99701461515482,"(40.763622481330685, -73.99701461515482)",121
16384586,"04/06/2010 03:07:20 AM","Noise - Commercial","Loud Music/Party",Club/Bar/Restaurant,10034,"","","","",BROADWAY,"DYCKMAN STREET",INTERSECTION,"NEW YORK",40.865535758901885,-73.92726840202711,"(40.865535758901885, -73.92726840202711)",119
15835180,"01/30/2010 02:06:39 AM","Noise - Commercial","Loud Music/Party",Club/Bar/Restaurant,11106,"34-01 36 AVENUE","36 AVENUE","34 STREET","35 STREET","","",ADDRESS,ASTORIA,40.755411961572584,-73.92722621884144,"(40.755411961572584, -73.92722621884144)",117
15753700,"01/19/2010 01:24:14 AM","Noise - Commercial","Loud Music/Party",Club/Bar/Restaurant,10012,"107 MACDOUGAL STREET","MACDOUGAL STREET","BLEECKER STREET","MINETTA LANE","","",ADDRESS,"NEW YORK",40.7297138891165,-74.00074326038714,"(40.7297138891165, -74.00074326038714)",116
25152121,"03/11/2013 01:52:12 AM","Noise - Commercial","Loud Music/Party",Club/Bar/Restaurant,10030,"2361 ADAM CLAYTON POWELL BOULEVARD","ADAM CLAYTON POWELL BOULEVARD","WEST 138 STREET","WEST 139 STREET","","",ADDRESS,"NEW YORK",40.81726755137458,-73.94225650251605,"(40.81726755137458, -73.94225650251605)",116
26025857,"07/27/2013 08:38:02 PM","Noise - Commercial","Loud Music/Party",Store/Commercial,10014,"182 W 4TH ST","W 4TH ST","","","","",LATLONG,"NEW YORK",40.73243667227844,-74.00193039104539,"(40.73243667227844, -74.00193039104539)",114
16319690,"03/28/2010 10:26:31 AM","Noise - Commercial","Loud Music/Party",Store/Commercial,10011,"116 10 AVENUE","10 AVENUE","WEST 17 STREET","WEST 18 STREET","","",ADDRESS,"NEW YORK",40.744203246663524,-74.00669440714869,"(40.744203246663524, -74.00669440714869)",113
20612131,"06/10/2011 08:42:42 PM","Noise - Commercial","Loud Music/Party",Store/Commercial,10011,"355 WEST 16 STREET","WEST 16 STREET","8 AVENUE","9 AVENUE","","",ADDRESS,"NEW YORK",40.74173312459783,-74.00308183921501,"(40.74173312459783, -74.00308183921501)",112
